id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUSq,fileID
3798,14,Beidou,14.1,-0.46,61,15,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3799,16,Beidou,19.8,-0.46,102,2,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3800,1,Galileo,24.5,-0.49,180,60,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3801,12,Galileo,20.4,-0.49,247,18,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3802,24,Galileo,22.1,-0.49,323,5,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3803,26,Galileo,11.4,-0.49,37,46,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3804,18,Glonass,14.8,-0.85,350,54,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3805,9,Glonass,16.1,-0.85,327,21,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3806,15,Glonass,25.7,-0.85,172,26,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3807,19,Glonass,17.1,-0.85,272,35,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3808,17,Glonass,15.6,-0.85,42,21,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3809,3,Glonass,28.1,-0.85,116,11,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3810,2,GPS,22.6,-0.39,43,33,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3811,5,GPS,24.7,-0.39,94,37,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3812,12,GPS,32.8,-0.39,127,43,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3813,21,GPS,32.3,-0.39,227,25,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3814,24,GPS,17.3,-0.39,175,2,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3815,25,GPS,22.3,-0.39,54,87,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3816,29,GPS,18.2,-0.39,319,54,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3817,31,GPS,17.2,-0.39,298,25,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3818,5,Beidou,24.3,-0.37,149,47,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3819,8,Beidou,14.4,-0.37,46,10,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3820,13,Beidou,13.2,-0.37,43,35,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3821,14,Beidou,14.1,-0.37,61,15,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3822,16,Beidou,20.4,-0.37,102,2,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3823,1,Galileo,23.8,-0.38,180,60,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3824,12,Galileo,20.9,-0.38,247,18,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3825,24,Galileo,22.7,-0.38,323,5,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3826,26,Galileo,11.4,-0.38,37,46,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3827,18,Glonass,14.8,0.77,350,54,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3828,9,Glonass,20.5,0.77,327,21,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3829,15,Glonass,25.9,0.77,172,26,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3830,19,Glonass,17.1,0.77,272,35,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3831,17,Glonass,15.6,0.77,42,21,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3832,3,Glonass,27.9,0.77,116,11,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3833,2,GPS,20.9,0.87,43,33,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
3834,5,GPS,25.6,0.87,94,37,TORGI-GNSS-20180911T052233.024Z.gpkg,0,Control-19
