id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID,,,,,,
100,13,Glonass,17.7,-0.93,331,3,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
101,12,Glonass,31.9,-0.93,312,60,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
102,11,Glonass,35.8,-0.93,177,62,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
103,5,Glonass,24.9,-0.93,36,3,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
104,23,Glonass,33.2,-0.93,244,12,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
105,21,Glonass,39.5,-0.93,25,37,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
106,2,GPS,36.6,0.45,46,49,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
107,5,GPS,37.5,0.45,115,28,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
108,6,GPS,30.3,0.45,39,4,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
109,12,GPS,42.3,0.45,104,58,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
110,21,GPS,31.5,0.45,219,8,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
111,24,GPS,32.3,0.45,182,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
112,25,GPS,42.2,0.45,334,68,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
113,29,GPS,41.4,0.45,291,45,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
114,31,GPS,34.8,0.45,314,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
115,10,Glonass,24.8,-0.78,157,9,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
116,6,Glonass,16.6,-0.78,88,7,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
117,22,Glonass,34.3,-0.78,292,57,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
118,13,Glonass,19.2,-0.78,331,3,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
119,12,Glonass,33,-0.78,312,60,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
120,11,Glonass,33.5,-0.78,177,62,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
121,5,Glonass,23.6,-0.78,36,3,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
122,23,Glonass,29.2,-0.78,244,12,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
123,21,Glonass,37.9,-0.78,25,37,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
124,2,GPS,36.3,0.45,46,49,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
125,5,GPS,35.4,0.45,115,28,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
126,6,GPS,31.8,0.45,39,4,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
127,12,GPS,38.9,0.45,104,58,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
128,21,GPS,30.3,0.45,219,8,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
129,24,GPS,32.8,0.45,182,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
130,25,GPS,39.1,0.45,334,68,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
131,29,GPS,34.3,0.45,291,45,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
132,31,GPS,31.1,0.45,314,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
133,10,Glonass,26.8,-1.08,157,9,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
134,6,Glonass,16.1,-1.08,88,7,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
135,22,Glonass,34.8,-1.08,292,57,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
136,13,Glonass,20.8,-1.08,331,3,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
137,12,Glonass,30.1,-1.08,312,60,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
138,11,Glonass,34.5,-1.08,177,62,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
139,5,Glonass,21.1,-1.08,36,3,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
140,23,Glonass,31.1,-1.08,244,12,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
141,21,Glonass,33.6,-1.08,25,37,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
142,2,GPS,32.9,-0.83,46,49,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
143,5,GPS,32,-0.83,115,28,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
144,6,GPS,27.7,-0.83,39,4,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
145,12,GPS,37.6,-0.83,104,58,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
146,21,GPS,24.8,-0.83,219,8,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
147,24,GPS,32.9,-0.83,182,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
148,25,GPS,40.5,-0.83,334,68,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
149,29,GPS,39.7,-0.83,291,45,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
150,31,GPS,35.9,-0.83,314,17,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
151,2,Beidou,30.4,-0.85,119,30,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
152,5,Beidou,26.3,-0.85,149,47,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
153,8,Beidou,26.1,-0.85,42,15,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
154,10,Beidou,17.8,-0.85,137,9,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
155,12,Beidou,26.3,-0.85,272,45,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
156,13,Beidou,32.1,-0.85,40,40,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
157,19,Beidou,33.8,-0.85,0,0,TORGI-GNSS-20180907T045903.103Z.gpkg,0,Control-10,,,,,,
