id,svid,constellation,cn0,agc,azimuth_deg,elevation_deg,fileName,CONUS,fileID,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72
13951,26,GPS,34.2,-0.46,274,49,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13952,27,GPS,24.2,-0.46,306,5,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13953,29,GPS,34.4,-0.46,98,46,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13954,10,Glonass,24.3,-0.09,291,26,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13955,9,Glonass,28.8,-0.09,236,22,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13956,11,Glonass,25.4,-0.09,337,2,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13957,5,Glonass,35.5,-0.09,163,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13958,3,Glonass,27.2,-0.09,32,19,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13959,4,Glonass,34.1,-0.09,90,54,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13960,5,GPS,22,2.79,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13961,10,GPS,32.9,2.79,203,29,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13962,15,GPS,25.4,2.79,102,23,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13963,16,GPS,21,2.79,307,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13964,20,GPS,36.8,2.79,199,58,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13965,21,GPS,29.7,2.79,338,66,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13966,25,GPS,20.6,2.79,167,11,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13967,26,GPS,31.2,2.79,274,49,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13968,27,GPS,23.6,2.79,306,5,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13969,29,GPS,35,2.79,98,46,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13970,31,GPS,25.3,2.79,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13971,10,Glonass,23.6,-0.09,291,26,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13972,9,Glonass,30.9,-0.09,236,22,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13973,11,Glonass,25.3,-0.09,337,2,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13974,5,Glonass,35.8,-0.09,163,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13975,3,Glonass,28.7,-0.09,32,19,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13976,4,Glonass,34.3,-0.09,90,54,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13977,10,GPS,31.7,2.79,203,29,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13978,16,GPS,27.4,2.79,307,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13979,20,GPS,37.7,2.79,199,58,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13980,21,GPS,27.6,2.79,338,66,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13981,25,GPS,26,2.79,167,11,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13982,26,GPS,34.1,2.79,274,49,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13983,27,GPS,24.6,2.79,306,5,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13984,29,GPS,35.5,2.79,98,46,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13985,31,GPS,27.1,2.79,0,0,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13986,10,Glonass,25.3,-0.09,291,26,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13987,9,Glonass,30.2,-0.09,236,22,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13988,11,Glonass,25.5,-0.09,337,2,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13989,5,Glonass,34.6,-0.09,163,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13990,20,Glonass,24.9,-0.09,319,33,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
13991,3,Glonass,25.9,-0.09,32,19,TORGI-GNSS-20180911T075459.768Z.gpkg,0,Control-72,,,
